Line,bus0,bus1,r,x,b,s_nom,s_max_pu,length,num_parallel,type,g,s_nom_extendable,s_nom_min,s_nom_max,capital_cost,build_year,lifetime,carrier,terrain_factor,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt
81,CISO-SCE0 0,US0 0,87.35831178631572,776.5183269894732,0.0,905.2996558460629,1.0,1059.3145710402043,2.25,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,CISO-SCE0 1,CISO-SCE0 4,0.23016883401281743,2.129916594114036,0.00010920812604062011,12921.928978026881,0.9999999999999994,118.28907868075117,32.11570888468809,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,CISO-SCE0 1,CISO-SCE0 6,1.995157987796411,27.30919364670331,3.0600959051484053e-05,4740.895142905919,1.0,234.9862524581922,11.782854442344046,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,CISO-SCE0 1,CISO-SDGE0 0,2.3751506906269113,64.12906864692661,1.035215963051279e-05,4451.199253035179,1.0,192.14139634584427,11.062854442344046,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,CISO-SCE0 1,IID0 0,1.257109139265464,9.396063368665889,4.394223459395191e-05,1339.8434906521734,0.9999999999999999,156.07809574639876,3.3299999999999996,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,CISO-SCE0 1,NEVP0 0,1.6884246633969917,22.304163101937895,0.00018882954885793578,10531.937886593272,1.0,477.95014347731535,26.17570888468809,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,CISO-SCE0 1,WALC0 0,2.375613814156168,20.397561875227176,3.8090873610347226e-05,1339.8434906521734,0.9999999999999999,213.9853811143121,3.3299999999999996,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,CISO-SCE0 3,CISO-SCE0 6,0.4194780970654948,2.8353395628172455,0.00011429238367378119,3874.6825270211493,1.0,136.6315669424941,9.629999999999999,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,CISO-SCE0 3,LADWP0 0,0.06753623652185613,0.6841008376062271,0.00014238900011670732,26459.46172202908,1.0,70.31922949273779,65.76141776937618,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,CISO-SCE0 3,US0 0,101.59085731536783,903.0298428032697,0.0,905.2996558460629,1.0,963.6843385320407,2.25,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,CISO-SCE0 4,CISO-SCE0 6,0.8640576431314904,9.031350560161066,5.23842266984499e-05,5935.890688622722,1.0,167.90394950367704,14.752854442344045,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,CISO-SCE0 4,CISO-SDGE0 0,0.6439248943852196,4.045388422440429,0.00010226382268867742,1774.3873254582836,0.9999999999999998,148.17770461411857,4.41,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,CISO-SCE0 5,CISO-SCE0 6,4.7467283075931315,26.4553171262354,1.8953709651090617e-05,289.69588987074013,1.0,178.8688361721525,0.72,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
