GeneratorKey,Name,plant_name_eia,Long ID,plant_id_eia,Long Name,generator_id,latitude,longitude,merged_type
1520,wrgianelli3,wrgianelli,CA-448-3,448,sanluispumpingplantwrgianelli3,1,37.0692,-121.0772,Long_ID
1521,wrgianelli4,wrgianelli,CA-448-4,448,sanluispumpingplantwrgianelli4,1,37.0692,-121.0772,Long_ID
1522,wrgianelli5,wrgianelli,CA-448-5,448,sanluispumpingplantwrgianelli5,1,37.0692,-121.0772,Long_ID
1523,wrgianelli6,wrgianelli,CA-448-6,448,sanluispumpingplantwrgianelli6,1,37.0692,-121.0772,Long_ID
1524,wrgianelli7,wrgianelli,CA-448-7,448,sanluispumpingplantwrgianelli7,1,37.0692,-121.0772,Long_ID
1525,wrgianelli8,wrgianelli,CA-448-8,448,sanluispumpingplantwrgianelli8,1,37.0692,-121.0772,Long_ID
1571,edwardchyatt1,edwardchyatt,CA-437-1,437,edwardchyatt1,1,39.542985,-121.4922,Long_ID
1573,edwardchyatt3,edwardchyatt,CA-437-3,437,edwardchyatt3,1,39.542985,-121.4922,Long_ID
1575,edwardchyatt5,edwardchyatt,CA-437-5,437,edwardchyatt5,1,39.542985,-121.4922,Long_ID
1577,caribou24,caribou2,CA-223-4,223,caribou24,4,40.085997,-121.1494,Long_ID
1578,buttvalley1,buttvalley,CA-221-1,221,buttvalley1,1,40.175656,-121.1907,Long_ID
1580,pit7h1,pit7,CA-270-H1,270,pit7h1,H1,40.847462,-121.9908,Long_ID
1582,pit6h1,pit6,CA-269-H1,269,pit6h1,H1,40.922568,-121.9929,Long_ID
1583,jamesbblack2,jamesbblack,CA-249-2,249,jamesbblack2,1,40.992295,-121.9752,Long_ID
1584,jamesbblack1,jamesbblack,CA-249-1,249,jamesbblack1,1,40.992295,-121.9752,Long_ID
1586,pit41,pit4,CA-267-1,267,pit41,1,40.986361,-121.8494,Long_ID
1587,muckvalley,muckvalleyhydro,CA-10458-GEN1,10458,muckvalleyhydroelectricgen1,GEN1,40.976389,-121.2558,Long_ID
1588,redbluffic1,redbluff,CA-56184-IC1,56184,redbluffic1,IC1,40.1501,-122.2014,Long_ID
1591,shasta4,shasta,CA-50881-GEN4,50881,wheelabratorshastagen4,GEN1,40.428329,-122.2792,Long_ID
1592,shasta3,shasta,CA-50881-GEN3,50881,wheelabratorshastagen3,GEN1,40.428329,-122.2792,Long_ID
1593,shasta2,shasta,CA-50881-GEN2,50881,wheelabratorshastagen2,GEN1,40.428329,-122.2792,Long_ID
1594,shasta1,shasta,CA-50881-GEN1,50881,wheelabratorshastagen1,GEN1,40.428329,-122.2792,Long_ID
1597,aidlingeo2,aidlingeothermal,CA-52158-GEN2,52158,geysersaidlinaggregate1bt22,GEN1,38.8339,-122.881,Long_ID
1598,aidlingeo1,aidlingeothermal,CA-52158-GEN1,52158,geysersaidlinaggregate1bt22,GEN1,38.8339,-122.881,Long_ID
1603,geysers20,geysersunit520,CA-286-U20,286,buttvalleyhydro1hy395,U10,38.777,-122.745,Long_ID
1604,geysers18,geysersunit520,CA-286-U18,286,spianderson21st2715,U10,38.777,-122.745,Long_ID
1605,geysers17,geysersunit520,CA-286-U17,286,olsenpowerpartners1hy58,U10,38.777,-122.745,Long_ID
1606,bottlerock,bottlerockpower,CA-902-1,902,middleforkandralstonpsp1hy210,1,38.8348,-122.7677,Long_ID
1607,geysers16,geysersunit520,CA-286-U16,286,collinspinepowerhousest33,U10,38.777,-122.745,Long_ID
1608,geysers14,geysersunit520,CA-286-U14,286,montgomerycreekhydro1hy28,U10,38.777,-122.745,Long_ID
1609,geysers13,geysersunit520,CA-286-U13,286,waterwheelranch1hy098,U10,38.777,-122.745,Long_ID
1610,geysers12,geysersunit520,CA-286-U12,286,bidwellditch1hy2,U10,38.777,-122.745,Long_ID
1611,geysers11,geysersunit520,CA-286-U11,286,pottervalleyhy101,U10,38.777,-122.745,Long_ID
1612,geysers08,geysersunit520,CA-286-U8,286,geysersunits78aggregate1bt82,U10,38.777,-122.745,Long_ID
1613,geysers07,geysersunit520,CA-286-U7,286,geysersunits78aggregate1bt82,U10,38.777,-122.745,Long_ID
1614,geysers06,geysersunit520,CA-286-U6,286,geysersunits56aggregate1bt85,U10,38.777,-122.745,Long_ID
1615,geysers05,geysersunit520,CA-286-U5,286,geysersunits56aggregate1bt85,U10,38.777,-122.745,Long_ID
1620,calistoga2,calistoga,CA-50066-UNT2,50066,geyserscalistogaaggregate1bt921,UNT1,38.7879,-122.7434,Long_ID
1621,calistoga1,calistoga,CA-50066-UNT1,50066,geyserscalistogaaggregate1bt921,UNT1,38.7879,-122.7434,Long_ID
1622,humboldtbayic09,humboldtbay,CA-246-IC9,246,humboldtbayic9,ST1,40.7415,-124.2103,Long_ID
