CAMD_STATE,CAMD_FACILITY_NAME,CAMD_PLANT_ID,CAMD_UNIT_ID,CAMD_GENERATOR_ID,CAMD_NAMEPLATE_CAPACITY,CAMD_STATUS,MOD_CAMD_UNIT_ID,MOD_CAMD_GENERATOR_ID,EIA_STATE,EIA_PLANT_NAME,EIA_PLANT_ID,EIA_GENERATOR_ID,PLANT_ID_CHANGE_FLAG,MOD_EIA_PLANT_ID,MOD_EIA_BOILER_ID,MOD_EIA_GENERATOR_ID_BOILER,MOD_EIA_GENERATOR_ID_GEN,MATCH_TYPE_GEN,MATCH_TYPE_BOILER
AL,Colbert,47,CCT7,GT7,59.5,OPR,CCT7,GT7,AL,Colbert,47,GT7,0,47,,,GT7,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
AL,Colbert,47,CCT8,GT8,59.5,OPR,CCT8,GT8,AL,Colbert,47,GT8,0,47,,,GT8,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
AL,Widows Creek,50,1,1,140.6,RET,1,1,AL,Widows Creek,50,1,0,50,1,1,1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,Widows Creek,50,2,2,140.6,RET,2,2,AL,Widows Creek,50,2,0,50,2,2,2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,Widows Creek,50,3,3,140.6,RET,3,3,AL,Widows Creek,50,3,0,50,3,3,3,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,Widows Creek,50,4,4,140.6,RET,4,4,AL,Widows Creek,50,4,0,50,4,4,4,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,Widows Creek,50,5,5,140.6,RET,5,5,AL,Widows Creek,50,5,0,50,5,5,5,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,Widows Creek,50,6,6,140.6,RET,6,6,AL,Widows Creek,50,6,0,50,6,6,6,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,Widows Creek,50,7,7,575,RET,7,7,AL,Widows Creek,50,7,0,50,7,7,7,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,Widows Creek,50,8,8,550,RET,8,8,AL,Widows Creek,50,8,0,50,8,8,8,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
LA,Dolet Hills Power Station,51,1,1,720.8,RET,1,1,LA,Dolet Hills,51,1,0,51,1,1,1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
KY,Smith Generating Facility,54,SCT1,GT1,150,OPR,SCT1,GT1,KY,J K Smith,54,GT1,0,54,,,GT1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
KY,Smith Generating Facility,54,SCT10,GT10,98,OPR,SCT10,GT10,KY,J K Smith,54,GT10,0,54,,,GT10,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
KY,Smith Generating Facility,54,SCT2,GT2,150,OPR,SCT2,GT2,KY,J K Smith,54,GT2,0,54,,,GT2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
KY,Smith Generating Facility,54,SCT3,GT3,150,OPR,SCT3,GT3,KY,J K Smith,54,GT3,0,54,,,GT3,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
KY,Smith Generating Facility,54,SCT4,GT4,108,OPR,SCT4,GT4,KY,J K Smith,54,GT4,0,54,,,GT4,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
KY,Smith Generating Facility,54,SCT5,GT5,108,OPR,SCT5,GT5,KY,J K Smith,54,GT5,0,54,,,GT5,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
KY,Smith Generating Facility,54,SCT6,GT6,98,OPR,SCT6,GT6,KY,J K Smith,54,GT6,0,54,,,GT6,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
KY,Smith Generating Facility,54,SCT7,GT7,98,OPR,SCT7,GT7,KY,J K Smith,54,GT7,0,54,,,GT7,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
KY,Smith Generating Facility,54,SCT9,GT9,98,OPR,SCT9,GT9,KY,J K Smith,54,GT9,0,54,,,GT9,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
AL,Charles R Lowman,56,1,1,86,RET,1,1,AL,Charles R Lowman,56,1,0,56,1,1,1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,Charles R Lowman,56,2,2,258,RET,2,2,AL,Charles R Lowman,56,2,0,56,2,2,2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,Charles R Lowman,56,3,3,258,RET,3,3,AL,Charles R Lowman,56,3,0,56,3,3,3,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
NE,Platte,59,1,1,109.8,OPR,1,1,NE,Platte,59,1,0,59,1,1,1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
NE,Gerald Whelan Energy Center,60,1,1,77,OPR,1,1,NE,Whelan Energy Center,60,1,0,60,1,1,1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
NE,Gerald Whelan Energy Center,60,2,2,220,OPR,2,2,NE,Whelan Energy Center,60,2,0,60,2,2,2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
NM,Escalante,87,1,1,233,RET,1,1,NM,Escalante,87,1,0,87,1,1,1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
KS,Holcomb,108,SGU1,1,387,OPR,SGU1,1,KS,Holcomb,108,1,0,108,SGU1,1,1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AZ,Cholla,113,1,1,113.6,OPR,1,1,AZ,Cholla,113,1,0,113,1,1,1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AZ,Cholla,113,2,2,288.9,RET,2,2,AZ,Cholla,113,2,0,113,2,2,2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AZ,Cholla,113,3,3,288.9,OPR,3,3,AZ,Cholla,113,3,0,113,3,3,3,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AZ,Cholla,113,4,4,414,RET,4,4,AZ,Cholla,113,4,0,113,4,4,4,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AZ,Ocotillo Power Plant,116,1,1,113.6,RET,1,1,AZ,Ocotillo,116,1,0,116,1,1,1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AZ,Ocotillo Power Plant,116,2,2,113.6,RET,2,2,AZ,Ocotillo,116,2,0,116,2,2,2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AZ,APS West Phoenix Power Plant,117,CC4,C4-1,91,OPR,CC4,C4-1,AZ,West Phoenix,117,C4-1,0,117,,,C4-1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
AZ,APS West Phoenix Power Plant,117,CC4,C4-2,44.6,OPR,CC4,C4-2,AZ,West Phoenix,117,C4-2,0,117,CC4,C4-2,C4-2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AZ,APS West Phoenix Power Plant,117,CC5A,C5-1,184,OPR,CC5A,C5-1,AZ,West Phoenix,117,C5-1,0,117,,,C5-1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
AZ,APS West Phoenix Power Plant,117,CC5A,C5-3,201,OPR,CC5A,C5-3,AZ,West Phoenix,117,C5-3,0,117,CC5A,C5-3,C5-3,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AZ,APS West Phoenix Power Plant,117,CC5B,C5-2,184,OPR,CC5B,C5-2,AZ,West Phoenix,117,C5-2,0,117,,,C5-2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
AZ,APS West Phoenix Power Plant,117,CC5B,C5-3,201,OPR,CC5B,C5-3,AZ,West Phoenix,117,C5-3,0,117,CC5B,C5-3,C5-3,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AZ,APS Saguaro Power Plant,118,1,1,125,RET,1,1,AZ,Saguaro,118,1,0,118,1,1,1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AZ,APS Saguaro Power Plant,118,2,2,125,RET,2,2,AZ,Saguaro,118,2,0,118,2,2,2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AZ,APS Saguaro Power Plant,118,CT3,GE1,91,OPR,CT3,GE1,AZ,Saguaro,118,GE1,0,118,,,GE1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
AZ,Yucca Power Plant,120,1,ST1,86.7,OPR,1,ST1,AZ,Yucca,120,ST1,0,120,1,ST1,ST1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AZ,Yucca Power Plant,120,CT5,GT5,60.5,OPR,CT5,GT5,AZ,Yucca,120,GT5,0,120,,,GT5,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
